# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0  in experiment E-PROT-11
# Selected columns: 27 (all)
# Timestamp: Fri, 17-May-2019 13:39:19
Gene ID	Gene Name	adrenal gland	brown adipose tissue	cerebellum	cerebral cortex	colon	cortex of kidney	diaphragm	duodenum	embryonic tissue	eye	heart	ileum	liver	lung	medulla oblongata	midbrain	olfactory bulb	ovary	pancreas	renal medulla	saliva-secreting gland	skeletal muscle	spleen	stomach	thymus	uterus	white adipose tissue
ENSMUSG00000000308	Ckmt1	38.9604355722	11.3853824272	1887.6502125072	887.4864713601	2516.526979487	425.7989225442	1.9403941741	1041.7753919746	18.8832588621	232.2576471746	22.899301178	3797.8651669972	10.5472660415	74.5982440409	1476.4597025048	1152.161378279	3394.6892504529	77.781253305	34.3601801546	180.9646356546	1306.0438315609	50.0937133554	11.8722887799	1016.7695000018	45.6027029615	102.0241419504	99.6340007044
ENSMUSG00000000320	Alox12														21.6924972094									20.2024779423				
ENSMUSG00000000339	Rtca	0.1149102968	14.8320534406	10.5298001852		19.9490947988	9.0405455947	9.0507296463	14.7492133634	52.5465344281	5.762253097	0.7879417509	25.0568624674	1.9908463495	23.8278130424	40.1559952258	1.6280848047				7.1484622948		5.8033119838	68.5773862533	4.0173115687	3.1190680892	8.5729259627	5.8868916818
ENSMUSG00000000340	Dbt	311.5001348151	927.0754202732	53.9439539392	37.3114036632	64.9953565274	620.0959232154	75.7655055915	179.2400647278	21.6607944021	17.1398895498	156.5568386019	75.4246171486	455.9761753623	59.9918539191	32.4319511498	33.7033260321	42.7649988062	138.5062023311	263.7161345652	429.4376542342	156.9604064637	13.8388922697	47.0042737335	336.370915891	75.0898769503	51.6597387582	196.3192839276
ENSMUSG00000000355	Mcts1	61.2513218806	128.0886414593	113.6018492316	73.3760398296	162.3244399768	67.2976684722	74.7419905094	160.0694117461	314.6988543151	40.6962701351	30.6740317797	186.1216259702	108.8002254304	82.9705788475	107.9155225438	117.6264264255	139.9166043856	378.7072161128	223.6487230366	131.1562118348	581.0527815036	23.1402729649	175.9270204468	97.1625642341	167.7070126425	40.3183074587	133.7500157604
ENSMUSG00000000394	Gcg	7.0896630612				12.7579367167			2.9960517033				6.8306965979							617.0246415857		1.3377530046	0.6287559471	1.0606666179	5.0504076054	0.4346005674		
ENSMUSG00000000399	Ndufa9	89.7094274817	2112.5687891333	418.1425017506	26.1372050603	141.2503867408	218.0853490181	438.6674562414	152.4898009718	14.807896371	34.5315557989	165.7969299507	122.9487912217	217.8821494865	23.4825468459	171.4790086815	25.8378594801	149.1953333013	17.4116048386	7.1100319914	67.4897238916	70.7889473595	4.5089071879	35.738771547	9.0867995846	14.1665166629		88.2098461262
ENSMUSG00000000409	Lck											85.8573418727													109.8893946945	81.4028731207		
ENSMUSG00000000420	Galnt1					0.4064353762	0.1301963694		0.5354263646	1.5697959484			17.8134009916	0.2446141753	0.1074296511			0.1257996811	0.7088645116	0.2622627241				1.186635332		0.536103643		
ENSMUSG00000000439	Mkrn2	0.555535891		0.8061315413			1.0398886701				0.2931545468		3.6088820258	0.6942697378		0.3611091643	4.132396372		7.3805829605		0.8019839156	5.3892233532		1.2026154154				
ENSMUSG00000000441	Raf1	0.6094990598	2.3531932162	2.7029426923		5.2425333272	1.4577488744		2.758911834	5.0172021286			9.5321383279	3.9616803591	1.491312876				7.3608701158			1.8136578121		1.2669010078		0.5853226141	0.9581970414	1.4043989729
ENSMUSG00000000486	Sept1	1.4906891317			0.4485308947						0.0406288754	0.2978585679	4.6632794668		3.7199839466	0.292498542			2.1629214917					133.0045165742		424.2852141366	1.3334052587	
ENSMUSG00000000561	Wdr77		9.1719013056			19.4963368627	17.9782076256			143.0909688514	1.6626163355	2.6362415747	15.104196498				3.2160524186				5.5585260568							13.0328551186
ENSMUSG00000000563	Atp5f1	676.032799494	444.0884026258	1344.2668114206	1112.7130435234	1608.1104297604	1397.548086402	2624.4830917295	820.8807118953	346.6182282567	515.1376701172	1211.5397890888	1047.4377219101	946.7421309905	185.6583766217	545.7825234724	493.2514471974	191.9503906123	760.2117787721	522.1636562658	1092.9715417956	963.5669487708	73.565076463	238.7744053853	636.4890519696	347.3916239947	337.6654407569	820.6753497171
ENSMUSG00000000567	Sox9				10.0041414406	2.6845140466			4.747340719	42.6027865032							10.1318978346		1.9928278024			16.676263818			2.7643974015			
ENSMUSG00000000579	Dynlt1c	11.5572856137	17.4533027629	9.5938317483	16.1174341136	150.6965063541	90.3915527631	11.244542981	57.8510467955	184.1252870094	15.1689103375	8.0648592317	341.5348298965	2.3943209435	107.3881598992	12.634482069	4.2506850849	0.4254562314	64.7848563462	13.3576206059	32.5991972936	6.6424482533		9.2300961418	2.2789288145	35.3551363489	49.666239277	5.7862203584
ENSMUSG00000000594	Gm2a	495.4193930461	37.3425056659	30.7726795904	40.7732494362	36.124786409	1555.3492282709		19.0332448332	22.7001180455	22.9027784465	8.771431868	29.707293222	128.8712525069	32.9588443836	23.1447925831	14.8363034623	14.4622245479	286.2727481796	66.0289556094	2218.5590740148	39.0837825186	87.565459639	569.5301705215	152.3236373697	347.480041308	171.0150314845	102.1167732087
ENSMUSG00000000628	Hk2	35.5726320013	458.4714991586	2.3751984693	0.1960155642	84.9040940729	0.1754651375	159.3509837786	14.0089823696	9.6063470559	22.5785205761	15.7798235916	28.8801573772	0.3144050098	4.1123723106	2.232341455	0.2130173977		9.0284829144	0.6357113473	1.0648337194	28.3235953078	14.5722456741	2.8844050443	1.42198234	10.8835818197	2.6856477702	65.2424999321
ENSMUSG00000000673	Haao	26.6204409334		1.8795451109	1.7944828779		771.3486652764	6.9840226031	6.6314945493			0.3973879176	1.0428603682	2221.6044736329	4.3930307553	1.2956614409				11.134162162	242.3995032004			5.2647526024				
ENSMUSG00000000711	Rab5b	10.8094408238	4.4138642344	17.2564134272	4.8746094034	8.8238612131	13.3630455954	3.7003640617	11.4547421891	20.0316356251	3.8013195207	3.1441906407	33.0158366012	36.4711689378	47.9001278976	22.6728865354		35.7814297644	25.8346218059	1.9832304603	6.2227876466	12.1104991856		22.9989925282	12.5743838823	5.4789261814	4.9499382492	21.7990826938
ENSMUSG00000000738	Spg7	0.833560804	17.6427708157	3.1830379821		3.4355373082	5.2196724839			1.3730072235		0.2753854372	3.3529785087	2.2825218014		2.963379791			6.8760280046		0.6452480348				1.1032214627	0.3818154313	13.4346057547	
ENSMUSG00000000740	Rpl13	49.9169729102	52.777561779		7.4940786933	131.9556068276	7.4799131564	8.174949842	15.2223849717	88.1699212816	2.5140793552	1.5626248666	89.5180482906	58.2828587719	0.1090952271	9.0655885735	5.7472354466		21.7442065117	251.9071746964	15.225584683	96.7263383266	0.3941549318	3.9619192358	93.8726687248	16.1429383397	22.030803848	16.1883569398
ENSMUSG00000000743	Chmp1a	11.4832512019	16.5899874612	17.5004980959	89.0522547829	92.1204754383	38.8253373327	9.5283700179	45.2804174647	17.9711954677	11.9489661044	4.0519464293	16.2421105679	9.5900775865	41.9535474412	49.7129842027	173.0847784821	0.5032384904	71.0507248691	33.5504229064	20.2693080076	65.1819461185	5.1821238113	32.9166888278	114.7332617747	26.8246339607	108.7906236696	25.7109798643
ENSMUSG00000000751	Rpa1	5.1576843869	1.8438536638	10.499677777	0.8552932818	17.0950802881	4.5195776382	0.6192186904	6.0702265878	212.9285865965	10.6126421985	0.4866917367	14.3581681486	2.8364704113	2.4244207039	6.1725786516		1.5034854675	54.84395033	0.6845822735	1.0768128189			72.1523591851	1.3414315352	178.4556106972	18.8469129365	2.4902548324
ENSMUSG00000000753	Serpinf1		5.666330441		3.2809387313	1.5777163733	43.750540373	1.6284204297		91.9042794094	18.9481040271	0.7176940204	0.3687580388	2.1582222829	11.1768446924	1.7499750214	2.1172539613		152.5210962708	13.8105136822	11.072083843			4.6935787662	15.3420269206	1.8554667922	242.8468773277	12.7437651695
ENSMUSG00000000759	Tubgcp3	0.0909012009				1.2335320604	0.1455871945			21.7783821135			0.8441603884	0.2053113483	1.1361776973				1.33286992									
ENSMUSG00000000787	Ddx3x	156.4167938176	116.0944899406	90.8734053377	19.3248962013	304.369360143	158.4684947156	50.8853614502	277.3095900966	331.4076888027	23.6949849299	7.0164544072	254.6989502677	95.2493477931	192.1487883832	69.9657178081	38.1981885519	48.6994087142	189.7032763747	368.3097791177	56.5499325956	39.7727444661	27.8363474376	168.0602537015	151.8122036881	361.7152287509	113.3001478264	51.2097336954
ENSMUSG00000000805	Car4	1.4815216436	49.7650197389	60.8752132329	1.0162951594	40.0621409394	9.5841601011	1.8770790551	1.4920973549		0.3257583578	1.0733863457	1.8876899604	0.1387541793	258.4161888344	1.5821333742	3.8086359847	3.5888797913			4.2954960843							16.1274779976
ENSMUSG00000000826	Dnajc5	26.548212239	16.9425627943	122.6913635474	70.7262097751	16.6271883821	71.6848182798	4.9365163856	19.4011440696	173.7851547023	84.8818092757	4.5221416594	9.6260945356	9.7103863745	25.8060549834	58.9811238858	168.9102020597	783.1247204871	76.3872735662		0.3029853847	99.7725566339	3.6111348691	68.1390753957		105.6085862612	2.8153569655	97.6919964578
ENSMUSG00000000827	Tpd52l2	172.8349316644	111.7532002082	189.7245907497	445.925977047	125.9121081377	206.5596092287	25.7656037006	40.2206948338	352.8579632696	33.2523267102	84.2166497523	24.6914772155	67.4374772329	202.1807718594	160.0557917577	170.3216323196	206.3655587492	344.6321558307	212.3380753205	286.7520256473	286.3356138116	37.0866006074	189.6835893403	278.9280617146	195.8797159068	447.5274606234	205.376301981
ENSMUSG00000000876	Pxmp4	0.1659176452					0.2301116034						2.1567901755	4.3917402609														
ENSMUSG00000000881	Dlg3	6.3402903566		99.0188771691	56.1889726215	3.2292108504	0.4618637826			4.8613035821	4.1498649414	0.3312867101	12.3433294742	1.3453456863	4.8756625158	30.6952893469	61.6795023559	92.1178951426		0.2347387638							1.0082540768	
ENSMUSG00000000889	Dbh	97.2239897279																										
ENSMUSG00000000902	Smarcb1	5.1967156621	2.5472744043	0.0302997267	0.9719396991	21.6377936189	11.0439944532		13.1280188367	146.5484268844	3.3144240753	0.5584624185	8.0738094987	2.157987534	8.0983445931	2.5209530127	1.5399246993	2.1264858376		3.3135162779	0.7535264058			31.0547808308		18.1046237977	27.755308856	0.2711153564
ENSMUSG00000000915	Hip1r	0.5988175471	4.3918694648	42.0378391845	4.2079301267	23.3227089464	15.5618341933	0.7714764766	21.9110590409	9.7330383322	4.6953811234	0.1747170735	37.6895556465	2.9479174301	20.0150665897	16.302749231	6.3329790044	3.2447052252	1.5571739325	3.3620498053	2.6880203549	12.0588381734	0.051755921	21.2658383457	2.6538982205	2.5874442567	2.3797729379	1.2760090249
ENSMUSG00000000934	Top1mt		0.4419548276					8.5153281135			0.1623705391		1.0092128033	0.1277268518						0.6890722737			11.2408481909		0.8117534405	1.4218977602	6.2220016847	
ENSMUSG00000000957	Mmp14									5.669055297																		
ENSMUSG00000000959	Oxa1l		0.7494614774				5.8813945409	2.2625237271		12.2478980973	2.2550545387	0.7729681957	7.2846844273	2.9661104663														
ENSMUSG00000000976	Heatr6		0.137627946			0.3267676358	0.1116912311		0.1509716626	3.1327642232			0.1883969187											0.9877517804		0.293651581		
ENSMUSG00000001016	Ilf2	38.9396003719	27.4176747938	181.5170108602	85.1143378476	112.2209099372	83.6067988219	2.5408563556	25.4238318705	209.81820197	62.8119284962	3.5675455186	121.452451619	23.9895723336	93.1551907281	79.8519712062	65.3220781419	118.6484321781	140.79195362	10.9434020411	25.5796689198	77.2243062104	11.6129304465	65.395066798	41.3061379968	131.7300078567	88.9697940262	57.066355959
ENSMUSG00000001020	S100a4	149.0411329067	66.8476241375	48.1492721102	33.7489541729	54.9854965313	267.2052991699	161.2869347865	279.3374684178	5.3001712666	2309.3518370314	111.4237275896	44.055021792	26.9967051622	1411.2792825503	13.3726524863	29.6150639986	7.3354979742	399.7201699534	33.4206541167	392.1755644882	294.8953091135	124.4403427402	1714.9368875226	349.1764284563	462.540438362	175.2171878799	311.9076487659
ENSMUSG00000001023	S100a5		0.5397203429	1.7501740257					2.4254754478			0.8893012017						1097.1434176493		5.0098538978		4.3486102397	7.8107993591		9.2977659782			4.8210000341
ENSMUSG00000001025	S100a6	392.9102075054	213.003280096	79.2188282188	147.5982287817	2407.1840461796	420.9536628137	451.2987431452	3396.3083424064	17.7282440831	1400.5396802524	279.1992144967	547.7566599398	32.3794964004	835.7664697773	36.2024448108	48.2899149099	20.6856005849	1335.5921699537	450.687006862	589.5694790719	550.5015277203	32.6698130579	211.6950127176	3389.5267245659	723.400985064	538.9035051247	1545.9850268023
ENSMUSG00000001029	Icam2														43.1775383351											8.8040066106		
ENSMUSG00000001039	B9d1				10.3215820986		2.5729232876								3.301811755													
ENSMUSG00000001089	Luzp1	0.5265332922	1.7536503951	11.5623466526	1.5539681337	8.759667957	5.4300971783		3.0576637441	2.8095876742	0.6824547312	0.0348320729	12.027197619	0.6706774779	7.4848673171	10.6370238256	7.3448659292	1.6600971563	3.26411855	0.0822344821	3.5692865035	1.9734061318		0.6649084394	0.8812887507	1.4583551657	2.1407725486	0.7542526826
ENSMUSG00000001100	Poldip2	10.9133390227	2.3902630527				53.7128670872							25.1480579315			30.4385792694					36.3453035169						41.8874331004
ENSMUSG00000001119	Col6a1	42.1412761534	48.2616319283	2.4083020643	1.7241501005	34.1825935913	43.2680998776	120.2749234764	322.5767099985	10.7296890159	68.6180517757	19.7753312358	7.4410104252	23.9385144577	67.1772435611	0.8527591905	0.7377980255	0.2206282906	213.2929806416	5.4113585333	12.3433237901	39.1679543402	33.7441667861	14.9372687661	25.2958049481	3.6525192128	149.007499767	167.3558720826
ENSMUSG00000001127	Araf				3.3366300748	0.7695623749	0.6421533251				0.237623797					2.3487132487												
ENSMUSG00000001143	Lman2l		4.1582471179	1.1268575537		0.8794602204	2.1612500003		1.502292153	1.0741068472				0.5925647965	1.8595474246	1.1161231803			14.4190072579							3.1694659578		4.1343263784
ENSMUSG00000001155	Ftcd	5.2288018706					1.0059649004		0.2051259869				0.0221723266	916.6942775894									7.2799289738					
ENSMUSG00000001158	Snrnp27				3.1957848706		3.2448641851			9.9955244494					4.8649933457									6.5865337822				
ENSMUSG00000001173	Ocrl	0.6025956635	3.1891592163	7.0213159782			0.5726513068			3.0110040445					0.4711624027	2.8971703026		8.8552212174	6.9525326165	1.3486351245		2.2941052258	2.4228140577	0.427668122	6.6987977022			
ENSMUSG00000001211	Agpat3	4.6301371149	71.6057435861		0.375826744	0.6513408459	4.5036584921	1.1092205853	2.0467165351	1.8838878984	3.9815051687	1.0325482135	7.3540139366	3.1032037974	0.7451822527	8.3283691004		14.5119320242	3.5149410323	0.5246811708	0.2095036273	1.4601806965		4.1440465286		13.753018361	1.3049078763	
ENSMUSG00000001225	Slc26a3												0.0668668395															
ENSMUSG00000001270	Ckb	283.6643071968	353.4814846626	15177.0356391051	8929.8374591394	590.8806356767	120.8325748002	171.7125070174	3815.6248214975	2104.6303780721	3493.2109638835	263.5985616515	1380.2193666529	77.7194770686	862.4393948247	10030.4403088691	9718.2401969234	9407.9683541934	3317.3432309585	29.6158332007	186.3552304106	324.1683981978	63.7494925053	636.281261535	3190.3626466491	234.9395376834	1723.586676987	930.7335938814
ENSMUSG00000001285	Myg1	41.1384085116		21.0142614879	12.9505728118	23.5635913024	89.1472177677	4.0128138596	49.576638367	17.7965208188	14.0130263995	3.8621534173	49.041928196	31.8700913857	23.4188281916	4.8531436063	17.2015348631		56.4303649823	8.0923817299	30.5541672304	18.6104343017		44.1274021571	8.1809718524	71.5620261493		6.4541881938
ENSMUSG00000001289	Pfdn5	34.6739403611	20.7656985909	170.3561928038	313.4165093692	55.9111910302	86.6029350398		35.8723918106	336.0353342226	28.7635805042	45.9009856396	55.3565348559	16.3320646934	67.0379516192	162.9918319036	276.9551884519	128.3380762315	170.2673501174	164.8063630045	81.7265663935	51.3938000962	18.3617638037	144.6562802039	176.9658890843	144.1703238394	237.9465570171	53.1517379419
ENSMUSG00000001300	Efnb2						2.6046920637				1.2002118963	0.1978300998	0.8396633391		0.6048678486			0.7788830158	1.0003799378					0.4724169211				
ENSMUSG00000001348	Acp5					12.66208824	5.0091782735		3.6023097522				12.2523177632	32.6969942264	2.5743818158									43.1937087157				
ENSMUSG00000001349	Cnn1	39.3965857655	45.1197573478	21.4083371171	5.8219011918	1584.4005434146	84.9276013309	8.1830427519	4913.3386274905	4.291192839	54.4765938276	28.3294545842	166.0348059722	23.4649086433	490.6188196638	18.7775814511	308.2455115974	11.7263250504	526.9431154087	7.409019283	48.8680085353	361.2440815428	10.9453446078	111.139196816	3290.633154025	7.2487460695	2595.4133774067	292.9229417533
ENSMUSG00000001376	Vps50	0.1696263108	0.9197438304	12.8585418269	0.7353413139	3.8247325703	3.354768857		0.5866663064	3.4047332204	0.7866750256		2.4171372055	0.5186599883	2.1287957846	5.071979635	3.8450074568	22.3551090234	1.7642057381	0.2508093307	0.5372308903	4.4247656974		3.3363218014		1.3368697772	4.7944979813	0.4067325531
ENSMUSG00000001380	Hars	79.7515907453	102.8399639834	136.9327412899	23.5412698543	162.0595955017	70.3431609943	17.9075468228	215.1656467895	239.9547944793	24.8114492837	2.6619653747	128.6691449445	69.6441164671	114.9736434169	111.2771102087	39.0086752358	49.8373785391	186.9387845695	210.7003931936	46.7558059518	173.2469859222	3.7451475459	96.4968747312	66.5060491295	103.1358487323	47.70786754	43.9756828506
ENSMUSG00000001383	Zmat2	4.1982928631	3.130836007	13.2051047916	12.0799913579	9.9701333248	10.2932225007	2.495155217	4.6409602169	52.9675742983	5.569732934		10.0238692493	3.9991814886	15.824453699	7.0176114207	12.4379577361	2.5559584331	19.6063015587	4.7261793233	4.2096645306	5.4903186099	0.9044842143	12.1562776897	1.8582746114	16.9613879366	6.1262785818	3.2996386688
ENSMUSG00000001403	Ube2c			0.2636362854		4.7326446543				34.2957836593														22.8565414995		40.6896475852		
ENSMUSG00000001415	Smg5												7.8179059816											0.2251685058				
ENSMUSG00000001416	Cct3	155.9028588765	184.6160231362	486.9271761937	88.0677755491	342.2295084462	213.803168252	64.0704572898	243.8440571459	1034.4684089534	193.3848507107	42.934429996	384.9260015606	310.7898774539	267.025616308	359.3499176107	121.6761455557	301.7243813488	385.2593902386	70.4696435953	164.854426197	136.9016824053	7.0071737611	246.7553155831	148.6354137046	236.7255674122	103.4819433331	223.9120693078
ENSMUSG00000001419	Mef2d			3.7960445164			3.2705850761					0.6520791335	3.4241817886		3.7767380038	0.910065464	5.0353317378							7.0211920493				
ENSMUSG00000001424	Snd1	206.9629897773	73.4386410538	103.8819381252	9.6195118713	276.8633696536	150.1474389087	26.9462164464	952.5155019355	487.7234820447	37.8326280796	18.3176492349	485.8954645569	545.8732492682	229.9947053672	96.8073058785	44.6663391466	59.9982494681	355.3474950351	1007.862282607	78.4556378344	1256.1196981919	18.8559214724	116.695700083	84.9865085076	126.6784320229	89.6284392293	131.8012093974
ENSMUSG00000001440	Kpnb1	86.1799445486	90.4998273247	257.785706315	20.0399011923	251.5391931736	125.4067224368	27.5984097777	160.5569890474	843.3125147425	160.4885718582	11.1614416455	369.9893736836	98.5475692015	220.5702718504	196.9405390154	60.8543585116	151.5614091748	205.4970198801	11.2836558078	47.0282278398	59.0538812197	4.7690494429	280.2587017566	36.5684917581	317.9191862247	49.3720444196	116.3059881238
ENSMUSG00000001441	Npepps	60.7123846992	48.7064699654	270.9339822334	40.1121392938	172.7921025657	66.6456091283	96.9800375785	101.5379729892	211.5440861225	91.5068426279	9.0916355876	250.5472101535	47.5231450169	103.5887499091	263.934556271	70.2837983631	209.1226667699	179.0301789806	11.4030430944	20.429775695	138.8523309705	16.7795132919	94.1683483005	18.895015718	101.606229212	35.518101219	31.6961621288
ENSMUSG00000001445	Mrpl10	3.2405681554	49.6431011657	4.6313978991	1.2928296274	24.2698432361	8.8111430537	13.5042103869	2.2274525756	7.9421016232	0.6068072775	2.4282755298	28.7115180302	16.5093000787	1.4834591814	7.2998041052	3.4834641671	1.4838013069	1.2470721098		10.8207466628			2.2254320644	2.2263593332	1.5017091217		
ENSMUSG00000001467	Cyp51	0.1694874095	1.2752847504		0.1048847648	6.3948590269	6.8508635825	1.0495552099	5.5171587899	24.3216905185	2.6060159985		10.8585001762	11.433442968		2.6351851819					3.0134338978			0.5210876893		0.4130562153		
ENSMUSG00000001473	Tubb6	66.378170171	7.8157219344	265.7510647776	53.8014308299	17.8366448185	16.5343619355	0.1599857218	69.9329906949	6.3992370538	15.2286755136		8.9215568192	0.7036010047	7.570665226	1477.4106466816	77.6069499806	331.8669949979	121.2246083974		60.645590432	1.1112907225		7.3627092591		6.5915107073	132.6511438916	23.9720187938
ENSMUSG00000001521	Tulp3	0.4612218843							0.2764674111	4.0245342545						0.2117633814					3.116245172		63.0580321393	0.5508563017	4.7875110226			
ENSMUSG00000001525	Tubb5	99.1255490098	51.1118904623	1009.8770261365	668.7272810248	120.3024499215	168.9862536428	18.1439867409	190.0443344718	369.1874825588	170.4197638891	4.0940515547	117.5924843432	54.8437880506	356.9874651762	663.0696008785	181.9496462296	806.4540960467	39.1595661779	6.4427608744	82.8461083989	0.9683322318		473.5126982907	0.6454391414	453.3745102155	36.6452627098	198.4245389689
ENSMUSG00000001552	Jup	10.5638632628	17.407995185	27.4461719938	2.3611333157	245.5864983038	32.8650422209	2.5305418625	105.0518539491	9.8661779668	22.7679889004	20.2642114152	145.4581288234	25.4544051869	98.8676421757	9.3835605326	2.3611056816	6.9703137148	12.4984129511	7.7596545529	11.1595947097	88.6743460759	1.5324968978	2.2338786799	28.4248939055	24.8143189804	19.4879942675	5.1811721001
ENSMUSG00000001555	Fkbp10	0.7646935219		1.1862328574	0.1223969976		0.4324794026	1.2523857491	2.5285315592	64.6618618636	0.8604277961	0.3109764262	0.165427169			0.3015800589		0.3922052436	30.5295643403				0.3752129719	3.4017944857	2.156037202	0.5450043192	35.8689395638	9.2474773141
ENSMUSG00000001576	Ergic1	15.7402993299	26.0320866857	44.9413909048		123.9522590217	0.9310962529	1.4524869148	213.3815571189			0.6862623524	46.7184527485	21.5740066187		32.9632912086	8.4110386332		6.3869617124	4.6018608227		49.4609656732		13.0817528025		0.6320659004	4.2104992346	
ENSMUSG00000001588	Acap1						0.0942635896						0.0466595628	0.1517533971						0.4831811118				7.8850296977		8.9142335279		
ENSMUSG00000001630	Stk38l		1.6580102172	19.7776900494	2.9613422793	6.3179280126	2.3420609122	1.2392625402	6.0637994324	0.5045840426			1.7255285057	0.7942727499	9.7648096769	9.2902491353	1.67547629	3.7932106574	1.4442944284	1.391796224		4.5439423083			1.9330226111	0.5179191489	0.864054687	0.5286264799
ENSMUSG00000001642	Akr1b3	2542.7278462169	522.7341200361	525.341010183	360.1253781276	976.8851523709	695.9238904183	1259.6534996347	560.1044248326	814.6931830266	436.1967736671	967.573222076	576.7733348836	146.1487682126	1055.7143733766	528.8557171254	284.9243408422	1110.0010848611	1534.1286782087	727.9769568368	2224.343374376	1700.4489387117	689.7260842956	2616.4418752528	547.7258024289	2175.1248522997	905.8567025767	2386.4205248072
